band_name,band_dir,use_error_map,make_cutout,calib_error,beam_width,colour_map,annulus_inner,annulus_outer,upsample_factor,gain_factor,remove_stars
GALEX_FUV,/home/saruman/spx7cjc/DustPedia/GALEX/Cutouts/,False,False,0.045,4.3,bone,1.25,1.601,1,1,True
GALEX_NUV,/home/saruman/spx7cjc/DustPedia/GALEX/Cutouts/,False,False,0.027,5.3,bone,1.25,1.601,1,1,True
#SDSS_u,/home/saruman/spx7cjc/DustPedia/SDSS/Cutouts/,False,False,0.013,1.3,gray,1.25,1.601,1,1,True
#SDSS_g,/home/saruman/spx7cjc/DustPedia/SDSS/Cutouts/,False,False,0.008,1.3,gray,1.25,1.601,1,1,True
#SDSS_r,/home/saruman/spx7cjc/DustPedia/SDSS/Cutouts/,False,False,0.008,1.3,gray,1.25,1.601,1,1,True
#SDSS_i,/home/saruman/spx7cjc/DustPedia/SDSS/Cutouts/,False,False,0.007,1.3,gray,1.25,1.601,1,1,True
#SDSS_z,/home/saruman/spx7cjc/DustPedia/SDSS/Cutouts/,False,False,0.008,1.3,gray,1.25,1.601,1,1,True
#2MASS_J,/home/saruman/spx7cjc/DustPedia/2MASS/Cutouts/,False,False,0.017,2,gray,1.25,1.601,1,1,True
#2MASS_H,/home/saruman/spx7cjc/DustPedia/2MASS/Cutouts/,False,False,0.019,2,gray,1.25,1.601,1,1,True
#2MASS_Ks,/home/saruman/spx7cjc/DustPedia/2MASS/Cutouts/,False,False,0.019,2,gray,1.25,1.601,1,1,True
#WISE_3.4,/home/saruman/spx7cjc/DustPedia/WISE/Cutouts/,False,False,0.029,6.1,pink,1.25,1.601,1,1,True
WISE_4.6,/home/saruman/spx7cjc/DustPedia/WISE/Cutouts/,False,False,0.034,6.4,pink,1.25,1.601,1,1,True
WISE_12,/home/saruman/spx7cjc/DustPedia/WISE/Cutouts/,False,False,0.046,6.5,pink,1.25,1.601,1,1,True
WISE_22,/home/saruman/spx7cjc/DustPedia/WISE/Cutouts/,False,False,0.056,12,pink,1.25,1.601,1,1,True
#Spitzer_3.6,/home/saruman/spx7cjc/DustPedia/Spitzer/Cutouts/,True,False,0.03,1.66,pink,1.25,1.601,1,1,True
#Spitzer_4.5,/home/saruman/spx7cjc/DustPedia/Spitzer/Cutouts/,True,False,0.03,1.72,pink,1.25,1.601,1,1,True
#Spitzer_5.8,/home/saruman/spx7cjc/DustPedia/Spitzer/Cutouts/,True,False,0.03,1.88,pink,1.25,1.601,1,1,True
#Spitzer_8.0,/home/saruman/spx7cjc/DustPedia/Spitzer/Cutouts/,True,False,0.03,1.98,pink,1.25,1.601,1,1,True
#Spitzer_24,/home/saruman/spx7cjc/DustPedia/Spitzer/Cutouts/,True,False,0.05,6,pink,1.25,1.601,1,1,True
#Spitzer_70,/home/saruman/spx7cjc/DustPedia/Spitzer/Cutouts/,True,False,0.1,18,pink,1.25,1.601,1,1,False
#Spitzer_160,/home/saruman/spx7cjc/DustPedia/Spitzer/Cutouts/,True,False,0.12,38,pink,1.25,1.601,1,1,False
SPIRE_250,/home/user/spx7cjc/Desktop/Saruman/DustPedia/SPIRE/Cutouts/DustPedia/,True,False,0.07,18,gist_heat,1.25,1.601,10,1,False
SPIRE_350,/home/user/spx7cjc/Desktop/Saruman/DustPedia/SPIRE/Cutouts/DustPedia/,True,False,0.07,25,gist_heat,1.25,1.601,10,1,False
SPIRE_500,/home/user/spx7cjc/Desktop/Saruman/DustPedia/SPIRE/Cutouts/DustPedia/,True,False,0.07,36,gist_heat,1.25,1.601,10,1,False
