name,ra,dec,fitting_bands_exclude,starsub_bands_exclude,fitting_min_semimaj_arcsec
ESO097-013,213.2913,-65.339,,,261.2891114
ESO116-012,48.2697,-57.35714,,,108.9234021
ESO149-001,356.9529,-57.07261,,,101.6532401
ESO149-013,0.6945,-52.77158,,,35.24693091
ESO157-047,69.8301,-54.21068,,,37.76776443
ESO157-049,69.9036,-53.01267,,,52.13402601
ESO209-009,119.5644,-49.85424,,,193.6962432
ESO240-004,351.9711,-51.13189,,,53.3483823
ESO289-020,335.29875,-45.67673,,,37.76776443
ESO358-006,51.82515,-34.52639,,,44.37324726
ESO358-015,53.27805,-34.80702,,,32.14557704
ESO358-016,53.28885,-35.71908,,,33.66054993
ESO358-019,53.6286,-34.2975,,,35.24693091
ESO358-042,54.5382,-34.51858,,,36.90806596
ESO358-043,54.5568,-33.12725,,,39.54770259
ESO358-050,55.2651,-33.77946,,,48.65430719
ESO358-051,55.38585,-34.88838,,,42.37612401
ESO358-054,55.75965,-36.27269,,,49.7876105
ESO358-056,55.84425,-33.94002,,,42.37612401
ESO358-059,56.265,-35.9727,,,41.41152657
ESO358-060,56.3013,-35.57055,,,48.65430719
ESO358-063,56.5791,-34.94359,,,127.9738542
ESO358-066,56.9694,-36.47167,,,32.89434299
ESO359-002,57.65295,-35.90937,,,37.76776443
ESO373-008,143.33955,-33.03346,,,111.4605822
ESO377-039,169.84035,-36.59571,,,32.14557704
ESO406-031,344.41995,-35.39701,,,44.37324726
ESO407-002,346.1727,-34.05781,,,32.89434299
ESO407-018,351.61605,-32.38858,,,40.46888603
ESO410-005,3.8802,-32.18061,,,38.64748782
ESO410-018,8.54625,-30.77392,,,46.46450469
ESO411-013,11.77665,-31.58135,,,36.90806596
ESO411-016,11.91495,-27.94758,,,30.69878909
ESO411-026,13.18965,-31.71818,,,34.44460411
ESO411-027,13.215,-27.32558,,,37.76776443
ESO428-014,109.12995,-29.32481,,,59.85786288
ESO434-040,146.91765,-30.94863,,,32.14557704
ESO471-006,355.9431,-31.95695,,,108.9234021
ESO491-020,107.44515,-27.56889,,,39.54770259
